time values
0 1
2e-07 1
4e-07 1
6e-07 1
8e-07 1
1e-06 1
1.2e-06 1
1.4e-06 1
1.6e-06 1
1.8e-06 1
2e-06 1
2.2e-06 1
2.4e-06 1
2.6e-06 1
2.8e-06 1
3e-06 1
3.2e-06 1
3.4e-06 1
3.6e-06 1
3.8e-06 1
4e-06 1
4.2e-06 1
4.4e-06 1
4.6e-06 1
4.8e-06 1
5e-06 1
5.2e-06 0
5.4e-06 0
5.6e-06 0
5.8e-06 0
6e-06 0
6.2e-06 0
6.4e-06 0
6.6e-06 0
6.8e-06 0
7e-06 0
7.2e-06 0
7.4e-06 0
7.6e-06 0
7.8e-06 0
8e-06 0
8.2e-06 0
8.4e-06 0
8.6e-06 0
8.8e-06 0
9e-06 0
9.2e-06 0
9.4e-06 0
9.6e-06 0
9.8e-06 0
1e-05 0
1.02e-05 1
1.04e-05 1
1.06e-05 1
1.08e-05 1
1.1e-05 1
1.12e-05 1
1.14e-05 1
1.16e-05 1
1.18e-05 1
1.2e-05 1
1.22e-05 1
1.24e-05 1
1.26e-05 1
1.28e-05 1
1.3e-05 1
1.32e-05 1
1.34e-05 1
1.36e-05 1
1.38e-05 1
1.4e-05 1
1.42e-05 1
1.44e-05 1
1.46e-05 1
1.48e-05 1
1.5e-05 1
1.52e-05 0
1.54e-05 0
1.56e-05 0
1.58e-05 0
1.6e-05 0
1.62e-05 0
1.64e-05 0
1.66e-05 0
1.68e-05 0
1.7e-05 0
1.72e-05 0
1.74e-05 0
1.76e-05 0
1.78e-05 0
1.8e-05 0
1.82e-05 0
1.84e-05 0
1.86e-05 0
1.88e-05 0
1.9e-05 0
1.92e-05 0
1.94e-05 0
1.96e-05 0
1.98e-05 0
2e-05 0
2.02e-05 1
2.04e-05 1
2.06e-05 1
2.08e-05 1
2.1e-05 1
2.12e-05 1
2.14e-05 1
2.16e-05 1
2.18e-05 1
2.2e-05 1
2.22e-05 1
2.24e-05 1
2.26e-05 1
2.28e-05 1
2.3e-05 1
2.32e-05 1
2.34e-05 1
2.36e-05 1
2.38e-05 1
2.4e-05 1
2.42e-05 1
2.44e-05 1
2.46e-05 1
2.48e-05 1
2.5e-05 1
2.52e-05 0
2.54e-05 0
2.56e-05 0
2.58e-05 0
2.6e-05 0
2.62e-05 0
2.64e-05 0
2.66e-05 0
2.68e-05 0
2.7e-05 0
2.72e-05 0
2.74e-05 0
2.76e-05 0
2.78e-05 0
2.8e-05 0
2.82e-05 0
2.84e-05 0
2.86e-05 0
2.88e-05 0
2.9e-05 0
2.92e-05 0
2.94e-05 0
2.96e-05 0
2.98e-05 0
3e-05 0
3.02e-05 1
3.04e-05 1
3.06e-05 1
3.08e-05 1
3.1e-05 1
3.12e-05 1
3.14e-05 1
3.16e-05 1
3.18e-05 1
3.2e-05 1
3.22e-05 1
3.24e-05 1
3.26e-05 1
3.28e-05 1
3.3e-05 1
3.32e-05 1
3.34e-05 1
3.36e-05 1
3.38e-05 1
3.4e-05 1
3.42e-05 1
3.44e-05 1
3.46e-05 1
3.48e-05 1
3.5e-05 1
3.52e-05 0
3.54e-05 0
3.56e-05 0
3.58e-05 0
3.6e-05 0
3.62e-05 0
3.64e-05 0
3.66e-05 0
3.68e-05 0
3.7e-05 0
3.72e-05 0
3.74e-05 0
3.76e-05 0
3.78e-05 0
3.8e-05 0
3.82e-05 0
3.84e-05 0
3.86e-05 0
3.88e-05 0
3.9e-05 0
3.92e-05 0
3.94e-05 0
3.96e-05 0
3.98e-05 0
4e-05 0
4.02e-05 1
4.04e-05 1
4.06e-05 1
4.08e-05 1
4.1e-05 1
4.12e-05 1
4.14e-05 1
4.16e-05 1
4.18e-05 1
4.2e-05 1
4.22e-05 1
4.24e-05 1
4.26e-05 1
4.28e-05 1
4.3e-05 1
4.32e-05 1
4.34e-05 1
4.36e-05 1
4.38e-05 1
4.4e-05 1
4.42e-05 1
4.44e-05 1
4.46e-05 1
4.48e-05 1
4.5e-05 1
4.52e-05 0
4.54e-05 0
4.56e-05 0
4.58e-05 0
4.6e-05 0
4.62e-05 0
4.64e-05 0
4.66e-05 0
4.68e-05 0
4.7e-05 0
4.72e-05 0
4.74e-05 0
4.76e-05 0
4.78e-05 0
4.8e-05 0
4.82e-05 0
4.84e-05 0
4.86e-05 0
4.88e-05 0
4.9e-05 0
4.92e-05 0
4.94e-05 0
4.96e-05 0
4.98e-05 0
5e-05 0
5.02e-05 1
5.04e-05 1
5.06e-05 1
5.08e-05 1
5.1e-05 1
5.12e-05 1
5.14e-05 1
5.16e-05 1
5.18e-05 1
5.2e-05 1
5.22e-05 1
5.24e-05 1
5.26e-05 1
5.28e-05 1
5.3e-05 1
5.32e-05 1
5.34e-05 1
5.36e-05 1
5.38e-05 1
5.4e-05 1
5.42e-05 1
5.44e-05 1
5.46e-05 1
5.48e-05 1
5.5e-05 1
5.52e-05 0
5.54e-05 0
5.56e-05 0
5.58e-05 0
5.6e-05 0
5.62e-05 0
5.64e-05 0
5.66e-05 0
5.68e-05 0
5.7e-05 0
5.72e-05 0
5.74e-05 0
5.76e-05 0
5.78e-05 0
5.8e-05 0
5.82e-05 0
5.84e-05 0
5.86e-05 0
5.88e-05 0
5.9e-05 0
5.92e-05 0
5.94e-05 0
5.96e-05 0
5.98e-05 0
6e-05 0
